# 小男生注：
# 向PUK2格式地图添加的素材必须在这里预先设定， 这样便
# 可出现在lib库中。
# 可以使用旧版图档进入PUK2新地图素材，具体cut设置见前
# 2例：其中，起始X=原dx+320，起始Y=原dy+240，宽度高度
# 等于原图的宽度和高度。
# PUK2格式组合图档的切割方式也是先将dx和dy加对应320和
# 240后，再使用新坐标设置起始位置，而非原图实际起始。
# 而像较大建筑物这种，一般需要切割成多个部分再拼接，
# 否则可以造成与人物角色遮挡混乱。
# 修正dx和修正dy用于调节地图中实际显示的偏移位置，也
# 可理解为立足点和所在cut区左上角的相对距离。
# 当定义宽度和高度任意一项为0时该定义无效，仅起分隔作
# 用。
#
# 以下定义导出自原版的cut文件，可在后面自由追加自定义。
#
#图编号	起始X	起始Y	宽度	高度	修正dx	修正dy
#
300743	0	384	192	96	124	77
300743	64	288	128	96	60	125
300743	0	144	192	144	152	111
300743	0	0	192	144	88	207
300743	256	0	128	144	60	156
300743	384	0	192	144	60	204
300743	576	96	64	48	4	91
300743	256	336	192	144	86	328
300743	448	336	192	144	86	232
300743	256	192	192	144	86	232
300743	448	192	192	144	86	184
300743	0	0	0	0	0	0
300744	0	0	192	144	78	148
300744	192	0	128	48	14	59
300744	192	48	192	144	148	159
300744	0	288	192	144	113	82
300744	192	288	128	192	49	178
300744	320	336	192	144	-3	62
300744	320	192	128	144	61	158
300744	384	144	64	48	-3	62
300744	448	144	128	192	101	103
300744	576	144	64	48	37	55
300744	448	0	192	144	101	199
300744	64	192	64	48	5	35
300744	0	0	0	0	0	0
300745	0	0	128	144	110	161
300745	128	0	128	144	46	161
300745	256	0	192	144	128	155
300745	448	0	192	96	139	85
300745	512	96	128	144	86	143
300745	512	384	64	48	9	69
300745	512	240	128	96	48	93
300745	256	336	192	144	62	142
300745	256	240	192	96	62	142
300745	0	384	128	96	55	75
300745	0	240	128	144	112	154
300745	128	240	128	192	48	154
300745	0	144	256	48	176	64
300745	0	192	256	48	112	93
300745	256	144	192	48	132	52
300745	256	192	128	48	84	30
300746	0	144	128	192	32	155
300746	0	0	128	144	-31	299
300746	128	0	128	144	14	157
300746	128	144	128	48	78	72
300746	128	192	128	48	102	53
300746	0	336	128	96	32	107
300746	0	432	128	48	50	70
300746	256	0	256	48	131	81
300746	256	48	192	144	51	147
300746	256	192	192	48	119	50
300746	448	48	192	144	76	124
300746	448	192	192	144	79	190
300746	512	336	64	48	27	69
300746	256	192	192	48	103	61
300746	256	240	192	144	123	186
300746	256	384	192	96	124	138
300747	0	336	192	144	133	154
300747	0	240	192	48	69	78
300747	0	192	64	48	12	55
300747	192	96	64	48	46	57
300747	0	0	128	192	27	183
300747	128	0	64	192	27	183
300747	192	0	192	96	91	81
300747	512	240	128	240	78	212
300747	448	96	192	144	84	125
300747	448	0	192	96	84	173
300747	192	288	128	192	41	258
300747	320	288	128	192	105	258
300747	192	192	256	96	169	258
300747	320	144	128	48	40	114
300747	0	0	0	0	0	0
300748	0	336	192	144	88	150
300748	0	240	256	96	203	121
300748	384	144	128	144	94	135
300748	512	144	128	144	30	135
300748	384	0	256	96	147	114
300748	0	0	128	192	75	207
300748	128	48	128	192	75	207
300748	256	48	128	192	11	207
300748	192	0	192	48	75	207
300748	0	0	0	0	0	0
300749	0	288	128	192	91	149
300749	0	144	128	144	27	293
300749	0	48	192	96	91	245
300749	128	336	64	96	58	187
300749	192	336	192	144	132	44
300749	192	192	192	144	132	332
300749	192	48	192	144	132	284
300749	384	0	128	144	67	208
300749	256	0	64	48	4	92
300749	512	0	64	96	54	178
300749	448	288	128	192	31	236
300749	448	144	192	144	95	236
300749	128	144	64	48	27	101
300749	0	0	0	0	0	0
300750	0	0	128	192	59	304
300750	128	0	128	192	56	315
300750	256	0	128	192	36	246
300750	384	0	64	192	36	198
300750	448	0	128	192	45	272
300750	576	0	64	192	45	272
300750	0	288	128	192	83	275
300750	128	288	128	192	83	227
300750	256	288	128	192	83	258
300750	384	240	128	240	83	306
300750	512	240	64	192	19	306
300750	576	192	64	192	70	239
300750	0	0	0	0	0	0
300751	0	336	192	144	106	274
300751	192	336	192	144	106	226
300751	384	336	192	96	106	178
300751	0	192	192	144	170	322
300751	192	192	192	144	170	322
300751	384	192	192	144	106	274
300751	64	0	128	192	106	466
300751	192	96	192	96	42	322
300751	384	48	192	144	42	322
300751	448	0	64	48	42	274
300751	576	144	64	144	57	247
300751	576	48	64	48	34	169
300751	0	0	0	0	0	0
300752	0	0	256	96	96	136
300752	256	0	256	96	96	117
300752	0	96	128	192	82	256
300752	128	96	128	192	18	276
300752	256	96	256	96	160	188
300752	256	192	256	96	112	116
300752	512	96	128	192	77	215
300752	512	0	128	96	77	215
300752	0	288	128	192	82	236
300752	128	288	128	192	82	258
300752	256	288	128	192	82	233
300752	384	288	128	192	82	256
300752	512	288	128	192	18	275
300752	0	0	0	0	0	0
300753	0	96	128	144	11	200
300753	0	0	128	96	11	248
300753	128	96	128	144	75	188
300753	128	0	128	96	75	236
300753	256	96	128	144	75	183
300753	256	0	128	96	75	231
300753	384	96	128	144	75	206
300753	384	0	128	96	75	254
300753	512	96	128	144	75	189
300753	512	0	128	96	75	237
300753	0	336	128	144	75	241
300753	0	240	128	96	75	289
300753	128	288	64	192	39	289
300753	512	288	128	96	64	81
300753	0	0	0	0	0	0
300754	128	0	64	96	33	338
300754	192	0	64	96	18	149
300754	128	336	128	144	59	229
300754	128	240	128	96	59	229
300754	256	288	128	192	1	164
300754	256	96	128	192	65	356
300754	256	0	128	96	65	260
300754	384	0	128	144	67	111
300754	384	144	64	144	48	105
300754	448	336	192	144	106	113
300754	448	192	192	144	106	209
300754	0	0	0	0	0	0
300754	0	288	128	192	59	170
300754	0	96	128	192	59	314
300754	0	0	128	96	59	170
300755	320	0	128	192	63	193
300755	448	288	192	144	107	189
300755	448	0	192	144	42	257
300755	0	0	192	144	85	303
300755	192	0	128	144	21	255
300755	0	144	192	144	85	255
300755	192	144	128	144	21	255
300755	320	192	128	144	85	159
300755	64	288	192	144	85	111
300755	256	288	128	192	21	159
300755	448	144	192	96	170	161
300755	448	240	192	144	43	216
300755	448	384	192	96	107	120
300755	0	0	0	0	0	0
300755	0	0	0	0	-4	0
300756	0	336	128	144	70	169
300756	128	336	128	144	70	142
300756	256	288	128	192	70	161
300756	384	336	128	144	70	106
300756	0	192	192	144	77	188
300756	0	0	0	0	0	0
300757	0	0	128	144	51	78
300757	128	0	192	144	121	72
300757	320	0	192	144	133	66
300757	512	0	128	144	49	86
300757	448	144	192	96	75	62
300757	0	144	128	144	62	248
300757	0	288	192	144	62	56
300757	192	336	128	144	62	86
300757	192	192	128	144	62	278
300757	320	192	128	192	58	246
300757	448	240	64	144	-6	246
300757	320	384	192	96	122	54
300757	0	0	0	0	0	0
300758	0	0	192	96	102	42
300758	192	0	128	144	56	56
300758	320	0	128	144	48	72
300758	448	0	192	144	98	84
300758	0	144	192	96	72	40
300758	192	144	192	96	80	66
300758	384	144	128	144	62	72
300758	512	144	128	144	50	72
300758	0	336	128	144	64	74
300758	128	336	128	144	64	74
300758	128	240	192	96	104	46
300758	320	288	192	96	90	54
300758	320	384	192	96	88	42
300758	512	288	128	144	61	66
300758	0	0	0	0	0	0
300759	0	0	128	144	66	85
300759	128	0	128	144	63	79
300759	256	0	192	96	103	34
300759	448	0	192	96	89	66
300759	320	96	128	144	47	71
300759	448	96	192	96	86	69
300759	0	336	128	144	75	86
300759	128	336	128	144	12	74
300759	320	240	128	96	58	59
300759	448	240	192	96	53	81
300759	320	336	128	144	33	85
300759	448	336	192	144	92	73
300759	0	0	0	0	0	0
300760	0	0	124	96	56	56
300760	0	96	120	96	52	59
300760	0	192	120	96	50	60
300760	0	288	128	192	60	85
300760	128	0	120	144	49	90
300760	128	144	120	144	52	94
300760	128	288	182	192	81	84
300760	256	0	192	144	87	78
300760	256	144	182	144	87	78
300760	285	288	155	144	88	82
300760	433	0	240	240	101	160
300760	448	240	192	240	78	173
300760	0	0	128	96	61	33
300760	0	96	128	96	64	35
300760	0	192	128	96	62	37
300760	0	288	128	144	67	88
300760	128	0	128	144	61	70
300760	128	144	128	144	64	60
300760	256	0	192	144	94	45
300760	256	144	192	144	95	46
300760	128	288	192	144	92	65
300760	320	288	128	144	65	51
300760	448	0	192	240	92	139
300760	448	240	192	240	91	141
300760	0	0	0	0	0	0
300761	0	0	64	96	29	59
300761	64	0	64	96	31	61
300761	0	96	64	96	30	71
300761	64	96	64	96	31	69
300761	0	192	64	48	31	23
300761	64	192	64	48	33	24
300761	0	240	64	48	31	29
300761	64	240	64	48	33	29
300761	0	288	128	144	61	65
300761	384	288	128	96	62	34
300761	256	288	64	96	32	52
300761	256	384	64	48	29	0
300761	0	0	64	96	60	66
300761	64	0	64	96	2	62
300761	0	96	64	96	61	69
300761	64	96	64	96	1	76
300762	192	0	128	96	67	7
300762	320	0	128	96	64	5
300762	192	0	256	96	131	10
300762	128	96	320	96	191	14
300762	128	192	128	48	95	2
300762	256	192	128	48	59	-2
300762	192	240	64	48	35	1
300762	256	240	128	48	63	2
300762	192	288	64	48	35	-1
300762	256	288	128	48	66	3
300762	192	336	64	48	42	0
300762	256	336	128	48	64	2
300762	192	384	64	48	28	30
300762	192	432	128	48	32	26
300762	0	0	128	96	51	90
300762	128	0	128	96	64	79
300762	0	96	128	96	56	78
300762	128	96	128	96	52	80
300762	0	96	256	96	113	81
300762	0	192	64	48	32	24
300762	0	240	64	48	32	24
300762	0	288	64	48	32	24
300762	0	336	64	48	32	24
300762	0	384	64	48	32	24
300762	0	96	256	96	96	72
300762	64	192	128	48	32	24
300762	64	240	128	48	32	24
300762	64	288	128	48	32	24
300762	0	432	64	48	32	24
300762	64	432	64	48	14	28
300763	0	0	128	144	67	67
300763	0	144	128	192	63	113
300763	0	336	128	96	62	38
300763	128	0	128	144	60	62
300763	128	144	128	96	64	36
300763	128	240	128	144	59	64
300763	256	0	64	144	30	128
300763	320	0	64	144	31	124
300763	256	144	128	144	61	115
300763	256	288	64	96	28	85
300763	128	384	64	48	35	32
300763	192	384	64	48	32	32
300763	256	384	64	48	32	29
300763	0	0	0	0	0	0
300764	0	0	256	480	127	374
300764	256	0	320	480	97	360
300764	0	0	0	0	0	0
300765	0	0	320	432	163	327
300765	320	0	320	432	164	296
300765	0	0	0	0	0	0
300766	0	0	320	480	171	334
300766	320	0	256	288	126	143
300766	320	288	128	192	63	120
300766	448	288	128	192	66	112
300766	0	0	0	0	0	0
300767	0	0	320	480	188	338
300767	320	0	256	432	159	348
300767	0	0	0	0	0	0
300768	0	0	256	480	125	361
300768	256	0	320	480	100	347
300768	0	0	0	0	0	0
300769	0	0	320	480	177	321
300769	320	0	256	432	157	347
300769	0	0	0	0	0	0
300770	0	0	320	480	176	315
300770	320	0	256	432	156	335
300770	0	0	0	0	0	0
300771	0	0	192	240	91	204
300771	192	0	192	240	91	202
300771	0	240	192	240	90	200
300771	192	240	192	240	92	202
300771	0	0	0	0	0	0
300772	0	0	128	288	63	261
300772	128	0	128	288	65	249
300772	256	0	128	288	64	249
300772	384	0	128	288	63	250
300772	0	0	0	0	0	0
300773	0	0	128	192	59	160
300773	128	0	128	192	61	160
300773	256	0	128	192	60	159
300773	384	0	128	192	60	160
300773	0	0	0	0	0	0
300774	320	96	192	144	32	120
300774	192	144	128	192	32	120
300774	64	192	128	192	32	168
300774	0	240	64	192	32	120
300774	0	0	0	0	0	0
300775	192	0	192	144	96	264
300775	128	144	192	144	160	216
300775	320	192	128	192	32	216
300775	128	288	192	144	160	120
300775	0	0	0	0	0	0
300776	128	0	192	144	96	312
300776	64	144	192	144	96	216
300776	64	288	192	96	160	72
300776	256	144	128	240	32	216
300776	0	0	0	0	0	0
300777	0	0	448	384	161	363
300777	0	0	192	144	96	168
300777	0	144	192	96	160	72
300777	192	96	128	240	32	168
300777	320	192	128	240	96	216
300777	448	288	64	144	32	120
300777	0	0	0	0	0	0
300778	384	48	128	144	32	120
300778	256	96	128	192	32	168
300778	0	192	128	192	96	168
300778	128	144	128	192	32	168
300778	0	0	0	0	0	0
300779	0	0	128	192	96	168
300779	128	48	128	240	96	168
300779	256	144	128	240	96	168
300779	384	240	64	144	32	120
300779	0	0	0	0	0	0
300780	128	0	192	144	96	312
300780	320	0	192	144	96	360
300780	512	0	128	144	32	264
300780	0	144	192	144	96	264
300780	192	144	192	144	96	264
300780	384	144	192	144	32	264
300780	576	144	64	144	32	216
300780	0	288	128	192	96	216
300780	128	288	128	192	96	216
300780	256	288	128	192	96	216
300780	384	288	128	192	96	216
300780	512	288	128	192	96	216
300780	0	0	0	0	0	0
300781	0	0	192	144	96	216
300781	192	96	64	48	32	168
300781	0	144	192	144	96	216
300781	192	144	192	144	96	216
300781	0	288	192	144	96	168
300781	192	288	192	144	96	168
300781	0	432	192	48	96	72
300781	192	432	256	48	96	72
300781	0	0	0	0	0	0
300782	0	0	192	144	96	168
300782	192	0	192	144	96	168
300782	0	144	192	144	96	120
300782	192	144	192	144	96	120
300782	0	0	0	0	0	0
300783	0	0	192	144	96	216
300783	0	144	192	144	96	120
300783	192	0	192	144	96	168
300783	192	144	192	144	96	120
300783	384	0	256	96	160	168
300783	384	96	256	96	96	120
300783	384	192	256	96	96	72
300783	0	0	0	0	0	0
300784	192	0	192	144	96	264
300784	384	0	192	144	96	264
300784	128	144	192	144	96	264
300784	320	144	192	144	96	264
300784	512	144	128	144	32	264
300784	128	288	128	192	96	312
300784	320	288	128	192	96	312
300784	448	288	128	192	32	312
300784	256	288	64	192	32	312
300784	0	0	0	0	0	0
300785	192	0	128	192	96	312
300785	320	0	128	192	96	312
300785	320	192	192	96	96	264
300785	320	288	128	96	96	264
300785	192	192	128	192	96	312
300785	128	384	192	96	160	216
300785	320	384	192	96	96	216
300785	0	0	0	0	0	0
300786	512	48	128	144	32	120
300786	384	96	128	144	96	120
300786	128	192	128	192	96	168
300786	0	0	0	0	0	0
300787	256	0	128	192	96	312
300787	256	192	128	192	96	312
300787	256	384	192	96	96	168
300787	0	0	0	0	0	0
300788	192	0	256	480	160	504
300788	192	0	256	480	92	588
300788	192	0	256	480	152	576
300788	192	0	256	480	148	516
300788	192	0	256	480	86	506
300788	0	0	0	0	0	0
300788	256	0	128	144	160	264
300788	192	144	256	96	160	216
300788	192	240	256	96	160	216
300788	192	336	256	96	160	168
300788	192	432	256	48	160	120
300788	256	0	128	144	92	252
300788	192	144	256	96	92	252
300788	192	240	256	96	92	204
300788	192	336	256	96	92	204
300788	192	432	256	48	92	156
300788	256	0	128	144	152	240
300788	192	144	256	96	152	240
300788	192	240	256	96	152	192
300788	192	336	256	96	152	192
300788	192	432	256	48	152	192
300788	256	0	128	144	148	228
300788	192	144	256	96	148	228
300788	192	240	256	96	148	180
300788	192	336	256	96	148	180
300788	192	432	256	48	148	180
300788	256	0	128	144	86	266
300788	192	144	256	96	86	218
300788	192	240	256	96	86	218
300788	192	336	256	96	86	170
300788	192	432	256	48	86	122
300789	256	144	128	336	32	455
300789	256	144	128	336	28	444
300789	256	144	128	336	24	432
300789	256	144	128	336	20	468
300789	256	144	128	336	22	458
300789	0	0	0	0	0	0
300789	256	144	128	192	32	311
300789	256	336	128	144	32	311
300789	256	144	128	192	28	300
300789	256	336	128	144	28	300
300789	256	144	128	192	24	288
300789	256	336	128	144	24	288
300789	256	144	128	192	20	276
300789	256	336	128	144	20	276
300789	256	144	128	192	22	266
300789	256	336	128	144	22	266
300790	0	0	128	240	38	163
300790	0	0	128	240	32	168
300790	0	0	0	0	0	0
300791	0	96	128	144	288	264
300791	0	240	128	96	288	264
300791	256	48	192	144	288	264
300791	192	192	256	96	288	264
300791	448	144	128	144	288	264
300791	0	96	128	144	358	259
300791	0	240	128	96	358	259
300791	256	48	192	144	358	259
300791	192	192	256	96	358	259
300791	448	144	128	144	38	307
300791	448	432	192	48	117	70
300791	448	432	192	48	179	32
300791	448	432	192	48	183	92
300791	448	432	192	48	187	56
300791	448	432	192	48	191	68
300791	0	0	0	0	0	0
300792	0	0	120	96	55	66
300792	0	96	120	96	55	54
300792	0	192	120	96	55	48
300792	0	288	128	144	60	97
300792	128	0	120	144	49	87
300792	128	144	120	144	51	90
300792	128	288	180	144	83	70
300792	256	0	192	144	93	72
300792	256	144	183	144	86	70
300792	290	288	149	144	87	70
300792	435	0	256	240	103	159
300792	440	240	256	240	100	157
300792	0	0	128	96	61	33
300792	0	96	128	96	64	35
300792	0	192	128	96	62	37
300792	0	288	128	144	67	88
300792	128	0	128	144	61	70
300792	128	144	128	144	64	60
300792	256	0	192	144	94	45
300792	256	144	192	144	95	46
300792	128	288	192	144	92	65
300792	320	288	128	144	65	51
300792	448	0	192	240	92	139
300792	448	240	192	240	91	141
300792	0	0	0	0	0	0
300793	128	240	64	48	35	30
300793	320	288	64	96	39	76
300793	320	384	64	48	29	24
300793	0	0	64	96	29	59
300793	64	0	64	96	31	61
300793	0	96	64	96	30	71
300793	64	96	64	96	31	69
300793	0	192	64	48	31	23
300793	64	192	64	48	33	24
300793	0	240	64	48	31	29
300793	64	240	64	48	33	29
300793	0	288	128	144	61	65
300793	384	288	128	96	62	34
300793	256	288	64	96	32	52
300793	256	384	64	48	29	0
300793	0	0	64	96	60	66
300793	64	0	64	96	2	62
300793	0	96	64	96	61	69
300793	64	96	64	96	1	76
300794	0	0	128	144	67	67
300794	0	144	128	192	63	113
300794	0	336	128	96	62	38
300794	128	0	128	144	60	62
300794	128	144	128	96	64	36
300794	128	240	128	144	59	64
300794	256	0	64	144	30	128
300794	320	0	64	144	31	124
300794	256	144	128	144	61	115
300794	256	288	64	96	28	85
300794	128	384	64	48	35	32
300794	192	384	64	48	32	32
300794	256	384	64	48	32	29
300794	0	0	0	0	0	0
300795	0	0	290	480	158	373
300795	283	0	380	480	101	377
300795	0	0	256	432	127	381
300795	256	0	320	480	99	394
300795	0	0	256	480	127	374
300795	256	0	320	480	97	360
300795	0	0	0	0	0	0
300796	0	0	320	432	159	296
300796	320	0	320	480	176	366
300796	0	0	320	432	163	327
300796	320	0	320	432	164	296
300796	0	0	0	0	0	0
300797	0	0	320	480	204	337
300797	320	0	320	288	160	152
300797	320	288	163	192	92	115
300797	470	288	192	192	78	129
300797	0	0	320	480	171	334
300797	320	0	256	288	126	143
300797	320	288	128	192	63	120
300797	448	288	128	192	66	112
300797	0	0	0	0	0	0
300798	332	0	320	480	175	365
300798	0	0	360	480	213	375
300798	0	0	300	480	162	402
300798	300	0	320	432	154	368
300798	0	0	320	480	188	338
300798	320	0	256	432	159	348
300798	0	0	0	0	0	0
300799	0	0	290	480	161	391
300799	295	0	320	480	91	375
300799	0	0	256	480	125	361
300799	256	0	320	480	100	347
300799	0	0	0	0	0	0
300800	0	0	320	480	213	360
300800	332	0	320	480	172	367
300800	0	0	320	480	177	321
300800	320	0	256	432	157	347
300800	0	0	0	0	0	0
300801	0	0	350	480	219	380
300801	332	0	320	480	172	366
300801	0	0	320	480	176	315
300801	320	0	256	432	156	335
300801	0	0	0	0	0	0
300802	0	0	192	240	69	146
300802	0	0	128	240	64	207
300802	0	0	192	240	91	204
300802	192	0	192	240	91	202
300802	0	240	192	240	90	200
300802	192	240	192	240	92	202
300802	0	0	0	0	0	0
300803	0	0	128	288	53	177
300803	0	0	128	288	63	249
300803	128	0	128	288	65	249
300803	256	0	128	288	64	249
300803	384	0	128	288	63	250
300803	0	0	0	0	0	0
300804	0	0	128	192	58	182
300804	128	0	128	192	58	180
300804	256	0	128	192	59	180
300804	384	0	128	192	57	181
300804	0	0	128	192	59	160
300804	128	0	128	192	61	160
300804	256	0	128	192	60	159
300804	384	0	128	192	60	160
300804	0	0	0	0	0	0
300805	0	0	128	96	60	0
300805	128	0	128	96	62	0
300805	0	96	256	90	130	-3
300805	0	192	64	40	32	-8
300805	64	192	128	40	62	-10
300805	0	240	64	48	32	-9
300805	64	230	128	50	63	1
300805	0	280	64	48	31	0
300805	64	280	128	50	61	-2
300805	0	336	64	48	39	-6
300805	64	330	128	48	64	2
300805	0	380	64	40	27	0
300805	0	432	64	48	30	-3
300805	64	432	64	48	18	-4
300805	0	96	256	93	130	-3
300805	64	192	128	45	62	-10
300805	64	240	128	45	63	-4
300805	64	290	128	50	61	-12
300805	0	0	128	96	51	90
300805	128	0	128	96	64	79
300805	0	96	128	96	56	78
300805	128	96	128	96	52	80
300805	0	96	256	96	113	81
300805	0	192	64	48	32	24
300805	0	240	64	48	32	24
300805	0	288	64	48	32	24
300805	0	336	64	48	32	24
300805	0	384	64	48	32	24
300805	0	96	256	96	96	72
300805	64	192	128	48	32	24
300805	64	240	128	48	32	24
300805	64	288	128	48	32	24
300805	0	432	64	48	32	24
300805	64	432	64	48	14	28
300806	128	0	128	192	61	339
300806	128	192	128	144	61	195
300806	192	336	128	96	61	3
300806	320	336	192	144	61	147
300806	256	192	192	144	61	291
300806	256	96	192	96	61	195
300806	384	0	128	96	61	291
300806	448	144	64	336	-3	339
300806	448	96	64	48	-3	99
300806	0	0	0	0	0	0
300807	64	48	64	144	20	231
300807	320	144	64	48	20	87
300807	448	0	128	192	64	191
300807	576	0	64	144	64	191
300807	0	336	128	144	37	116
300807	128	288	128	192	37	186
300807	256	288	128	192	101	213
300807	384	288	128	192	101	195
300807	512	288	128	192	37	223
300807	128	0	128	144	97	171
300807	256	0	128	144	33	171
