_init_proc, no_match_found
_pthread_detach, no_match_found
_atoi, no_match_found
_pthread_mutex_init, no_match_found
_strcasecmp, no_match_found
_atof, no_match_found
_mkstemp64, no_match_found
_select, StoneAge/Source/gmsv/callfromcli.c
_mysql_fetch_field, no_match_found
_closedir, StoneAge/Source/gmsv/include/3rdParty/dirent.h
_close, StoneAge/Source/gmsv/npc/npc_sysinfo.c
_fwrite, no_match_found
_fprintf, no_match_found
_strstr, no_match_found
_time, StoneAge/Source/gmsv/callfromac.c
_setvbuf, no_match_found
_strncat, no_match_found
_remove, StoneAge/Source/gmsv/callfromac.c
_malloc, no_match_found
_pthread_mutex_lock, no_match_found
_sched_get_priority_min, no_match_found
_gethostname, no_match_found
_rindex, no_match_found
_mysql_fetch_row, no_match_found
_fputc, no_match_found
_dlerror, no_match_found
__Unwind_GetCFA, no_match_found
_strtok, no_match_found
_pthread_create, no_match_found
___sysv_signal, no_match_found
_sleep, StoneAge/Source/saac/main.c
_sigaddset, no_match_found
_mysql_real_escape_string, no_match_found
_backtrace, no_match_found
_mysql_free_result, no_match_found
_memmove, no_match_found
___ctype_tolower_loc, no_match_found
_strcat, StoneAge/Source/gmsv/lssproto_util.c
_puts, no_match_found
___strtoul_internal, no_match_found
_pthread_testcancel, no_match_found
_setsockopt, no_match_found
_fcntl, no_match_found
_rand, StoneAge/Source/gmsv/function.c
_sscanf, no_match_found
___fxstat, no_match_found
_fscanf, no_match_found
_memchr, no_match_found
_strncmp, no_match_found
_vfprintf, no_match_found
_index, StoneAge/Source/gmsv/callfromac.c
__IO_putc, no_match_found
_munmap, no_match_found
_strpbrk, no_match_found
_fread, no_match_found
_strftime, no_match_found
_cosh, no_match_found
_snprintf, StoneAge/Source/gmsv/include/common.h
_mmap64, no_match_found
_gethostbyname, no_match_found
_ferror, no_match_found
_strcmp, no_match_found
_exit, no_match_found
_difftime, no_match_found
_pclose, no_match_found
_pthread_self, no_match_found
_pthread_cancel, no_match_found
_mysql_init, no_match_found
_start, StoneAge/Source/gmsv/callfromac.c
call_gmon_start, no_match_found
__do_global_dtors_aux, no_match_found
frame_dummy, no_match_found
mainloop, StoneAge/Source/gmsv/main.c
main, StoneAge/Source/gmsv/callfromcli.c
printUsage, StoneAge/Source/gmsv/init.c
parseEnvironment, StoneAge/Source/gmsv/init.c
parseCommandLine, StoneAge/Source/gmsv/init.c
init, StoneAge/Source/gmsv/autil.c
substitutePointerFromType, StoneAge/Source/gmsv/configfile.c
getBattlenum, StoneAge/Source/gmsv/configfile.c
getBattleDebugMsg, StoneAge/Source/gmsv/configfile.c
setBattleDebugMsg, StoneAge/Source/gmsv/configfile.c
getFdnum, StoneAge/Source/gmsv/callfromac.c
getFCtime, no_match_found
getFCcount, no_match_found
getFCwait, no_match_found
getUnFairUserDownFlg, no_match_found
getMacroUserDownFlg, no_match_found
printConfig, no_match_found
lastConfig, StoneAge/Source/gmsv/configfile.c
readconfigfile, StoneAge/Source/gmsv/configfile.c
defaultConfig, StoneAge/Source/gmsv/configfile.c
chompex, StoneAge/Source/gmsv/configfile.c
strncpy2, StoneAge/Source/gmsv/util.c
texttoiTail, StoneAge/Source/gmsv/util.c
replaceString, StoneAge/Source/gmsv/util.c
hashpjw, StoneAge/Source/gmsv/function.c
existsNewLineCharacter, StoneAge/Source/gmsv/util.c
PointInRect, StoneAge/Source/gmsv/util.c
CoordinateInRect, StoneAge/Source/gmsv/util.c
clipRect, StoneAge/Source/gmsv/util.c
easyGetTokenFromString, StoneAge/Source/gmsv/callfromac.c
linearDiv, StoneAge/Source/gmsv/util.c
cnv10to62, StoneAge/Source/gmsv/lssproto_util.c
checkRedundancy, StoneAge/Source/gmsv/util.c
CheckCRC, StoneAge/Source/gmsv/util.c
Atan, no_match_found
THREAD_getIndex, no_match_found
RAND, StoneAge/Source/gmsv/configfile.c
shuffle_ints, StoneAge/Source/gmsv/util.c
initSignalBlock, no_match_found
isExistFile, StoneAge/Source/gmsv/init.c
makeRandomString, StoneAge/Source/gmsv/util.c
nindex, StoneAge/Source/gmsv/callfromac.c
makeEscapeString, StoneAge/Source/gmsv/callfromac.c
makeStringFromEscaped, StoneAge/Source/gmsv/callfromac.c
deleteCharFromStringNoEscape, StoneAge/Source/gmsv/util.c
deleteCharFromString, StoneAge/Source/gmsv/util.c
strcmptail, StoneAge/Source/gmsv/util.c
charInclude, StoneAge/Source/gmsv/util.c
pohcd, StoneAge/Source/gmsv/util.c
dchop, StoneAge/Source/gmsv/util.c
chop, StoneAge/Source/gmsv/configfile.c
isstring1or0, StoneAge/Source/gmsv/util.c
checkStringsUnique, StoneAge/Source/gmsv/function.c
strncpysafe, StoneAge/Source/gmsv/util.c
deleteSequentChar, StoneAge/Source/gmsv/util.c
kanjistrToInt, StoneAge/Source/gmsv/util.c
decimalstrToInt, StoneAge/Source/gmsv/util.c
numstrIsKanji, StoneAge/Source/gmsv/util.c
textToInt, StoneAge/Source/gmsv/util.c
strtolchecknum, StoneAge/Source/gmsv/configfile.c
new_strcatsafe, no_match_found
_strcpysafe, StoneAge/Source/gmsv/lssproto_serv.c
rrd, StoneAge/Source/gmsv/util.c
rgetFileName, StoneAge/Source/gmsv/util.c
getStringFromIndexWithDelim_body, StoneAge/Source/gmsv/util.c
setArrayFromStringWithDelim, no_match_found
getFourIntsFromString, StoneAge/Source/gmsv/util.c
strcatsafe, StoneAge/Source/gmsv/configfile.c
SERVSTATE_SetAcceptMore, StoneAge/Source/gmsv/callfromac.c
SERVSTATE_decrementCloseallsocketnum, StoneAge/Source/gmsv/callfromac.c
SERVSTATE_getCloseallsocketnum, StoneAge/Source/gmsv/callfromac.c
SERVSTATE_getAcceptmore, StoneAge/Source/gmsv/net.c
SERVSTATE_getShutdown, StoneAge/Source/gmsv/main.c
SERVSTATE_setShutdown, StoneAge/Source/gmsv/callfromac.c
SERVSTATE_getLimittime, StoneAge/Source/gmsv/main.c
SERVSTATE_setLimittime, StoneAge/Source/gmsv/callfromac.c
SERVSTATE_getDsptime, StoneAge/Source/gmsv/main.c
SERVSTATE_setDsptime, StoneAge/Source/gmsv/callfromac.c
CONNECT_checkfd, StoneAge/Source/gmsv/callfromac.c
getfdFromCharaIndex, StoneAge/Source/gmsv/callfromac.c
getfdFromChar, StoneAge/Source/gmsv/callfromac.c
getfdFromFdid, StoneAge/Source/gmsv/callfromac.c
CONNECT_isCLI, StoneAge/Source/gmsv/callfromcli.c
CONNECT_isAC, StoneAge/Source/gmsv/net.c
CONNECT_isML, no_match_found
CONNECT_isUnderLogin, StoneAge/Source/gmsv/net.c
CONNECT_isWhileLogin, StoneAge/Source/gmsv/net.c
CONNECT_isNOTLOGIN, StoneAge/Source/gmsv/callfromcli.c
CONNECT_isLOGIN, StoneAge/Source/gmsv/callfromcli.c
getfdFromCdkeyWithLogin, StoneAge/Source/gmsv/callfromac.c
getfdFromCdkey, StoneAge/Source/gmsv/callfromac.c
outputNetProcLog, StoneAge/Source/gmsv/callfromcli.c
closeAllConnectionandSaveData, StoneAge/Source/gmsv/main.c
NET_writeLoop, no_match_found
CONNECT_appendCDbuf, StoneAge/Source/gmsv/net.c
CONNECT_appendCAbuf, StoneAge/Source/gmsv/net.c
GetOneLine_fix, StoneAge/Source/gmsv/net.c
lsrpcClientWriteFunc, StoneAge/Source/gmsv/init.c
initConnectOne, StoneAge/Source/gmsv/init.c
NET_acceptLoop, no_match_found
connectHost, StoneAge/Source/gmsv/init.c
bindlocalhost, StoneAge/Source/gmsv/init.c
getCharindexFromFdid, StoneAge/Source/gmsv/callfromac.c
chardatasavecheck, StoneAge/Source/gmsv/main.c
CAsend, StoneAge/Source/gmsv/configfile.c
CDsend, StoneAge/Source/gmsv/configfile.c
CDflush, StoneAge/Source/gmsv/net.c
CDcheck, StoneAge/Source/gmsv/net.c
CAflush, StoneAge/Source/gmsv/net.c
CAcheck, StoneAge/Source/gmsv/net.c
endConnect, StoneAge/Source/gmsv/init.c
CONNECT_mlfdInitWB, no_match_found
CONNECT_mlfdInitRB, no_match_found
initConnect, StoneAge/Source/gmsv/init.c
_CONNECT_endOne, StoneAge/Source/gmsv/net.c
NET_dispatchLoop, no_match_found
MlsvRebirth, no_match_found
NET_readLoop, no_match_found
NET_IO_Loop, no_match_found
MlsvRebirth_func, no_match_found
configmem, StoneAge/Source/gmsv/buf.c
checkMemory, no_match_found
Print_Alloced, no_match_found
MyFclose, no_match_found
AllMyFclose, no_match_found
MyFopen, no_match_found
initMyFopen, no_match_found
initMyAlloc, no_match_found
memInit, StoneAge/Source/gmsv/buf.c
MyFree, no_match_found
AllMyFree, no_match_found
freeMemory, StoneAge/Source/gmsv/buf.c
memEnd, StoneAge/Source/gmsv/buf.c
MyAlloc, no_match_found
allocateMemory, StoneAge/Source/gmsv/buf.c
signalset, StoneAge/Source/gmsv/init.c
sigusr1, StoneAge/Source/gmsv/main.c
StackPrint, no_match_found
shutdownProgram, StoneAge/Source/gmsv/callfromac.c
sigshutdown, StoneAge/Source/gmsv/callfromac.c
Noderemovetail, StoneAge/Source/gmsv/link.c
Noderemovehead, StoneAge/Source/gmsv/link.c
Nodeappendhead, StoneAge/Source/gmsv/link.c
Nodeappendtail, StoneAge/Source/gmsv/link.c
CheckKor, no_match_found
SCharCheck, no_match_found
nrproto_PMI_recv, no_match_found
nrproto_PS_recv, no_match_found
nrproto_Shutdown_recv, no_match_found
nrproto_SP_recv, no_match_found
nrproto_w_recv, no_match_found
nrproto_SKD_recv, no_match_found
nrproto_SKUP_recv, no_match_found
nrproto_L_recv, no_match_found
nrproto_S_recv, no_match_found
nrproto_MU_recv, no_match_found
nrproto_JB_recv, no_match_found
nrproto_HL_recv, no_match_found
nrproto_PlayerNumGet_recv, no_match_found
nrproto_StallBuy_recv, no_match_found
nrproto_StallBrowse_recv, no_match_found
nrproto_StallEnd_recv, no_match_found
nrproto_PRO_recv, no_match_found
nrproto_PRE_recv, no_match_found
nrproto_PRM_recv, no_match_found
nrproto_PRD_recv, no_match_found
nrproto_PRS_recv, no_match_found
nrproto_PRV_recv, no_match_found
nrproto_ProcGet_recv, no_match_found
nrproto_GD_recv, no_match_found
nrproto_PGML_recv, no_match_found
nrproto_PMSG_recv, no_match_found
nrproto_GML_recv, no_match_found
nrproto_RGM_recv, no_match_found
nrproto_LG_recv, no_match_found
nrproto_AGM_recv, no_match_found
nrproto_GMR_recv, no_match_found
nrproto_BGT_recv, no_match_found
nrproto_GT_recv, no_match_found
nrproto_GI_recv, no_match_found
nrproto_PSSW_recv, no_match_found
nrproto_SKSW_recv, no_match_found
nrproto_ALN_recv, no_match_found
nrproto_ALI_recv, no_match_found
nrproto_DP_recv, no_match_found
nrproto_TROC_recv, no_match_found
nrproto_TRCL_recv, no_match_found
nrproto_TROP_recv, no_match_found
nrproto_TRS_recv, no_match_found
nrproto_TRPL_recv, no_match_found
nrproto_BU_recv, no_match_found
nrproto_AAB_recv, no_match_found
nrproto_DAB_recv, no_match_found
nrproto_MSG_recv, no_match_found
nrproto_KN_recv, no_match_found
nrproto_IH_recv, no_match_found
nrproto_GPDI_recv, no_match_found
nrproto_GPD_recv, no_match_found
nrproto_GFLI_recv, no_match_found
nrproto_GFL_recv, no_match_found
nrproto_IR_recv, no_match_found
nrproto_TU_recv, no_match_found
nrproto_DT_recv, no_match_found
nrproto_ST_recv, no_match_found
nrproto_FT_recv, no_match_found
nrproto_DG_recv, no_match_found
nrproto_IDF_recv, no_match_found
nrproto_ID_recv, no_match_found
nrproto_MP_recv, no_match_found
nrproto_KS_recv, no_match_found
nrproto_DI_recv, no_match_found
nrproto_MI_recv, no_match_found
nrproto_WN_recv, no_match_found
nrproto_PI_recv, no_match_found
nrproto_POS_recv, no_match_found
nrproto_PLVUP_recv, no_match_found
nrproto_LVUP_recv, no_match_found
nrproto_FS_recv, no_match_found
nrproto_StallStart_recv, no_match_found
nrproto_DU_recv, no_match_found
nrproto_LB_recv, no_match_found
nrproto_PR_recv, no_match_found
nrproto_EO_recv, no_match_found
nrproto_B_recv, no_match_found
nrproto_EN_recv, no_match_found
nrproto_ACS_recv, no_match_found
nrproto_AC_recv, no_match_found
nrproto_EV_recv, no_match_found
nrproto_FC_recv, no_match_found
nrproto_TK_recv, no_match_found
nrproto_M_recv, no_match_found
nrproto_W_recv, no_match_found
nrproto_PVUP_recv, no_match_found
nrproto_CharLoginGate_recv, no_match_found
nrproto_CH_recv, no_match_found
nrproto_Echo_recv, no_match_found
nrproto_CharList_recv, no_match_found
nrproto_CharDelete_recv, no_match_found
nrproto_CharLogout_recv, no_match_found
nrproto_CharLogin_recv, no_match_found
nrproto_CreateNewChar_recv, no_match_found
nrproto_ClientLogin_recv, no_match_found
mlsvproto_ACUCheck_recv, no_match_found
mlsvproto_DBGetEntryByRank_recv, no_match_found
mlsvproto_DBGetEntryInt_recv, no_match_found
mlsvproto_DBDeleteEntryString_recv, no_match_found
mlsvproto_DBDeleteEntryInt_recv, no_match_found
mlsvproto_DBUpdateEntryString_recv, no_match_found
mlsvproto_DBUpdateEntryInt_recv, no_match_found
mlsvproto_Message_recv, no_match_found
mlsvproto_Broadcast_recv, no_match_found
mlsvproto_DBGetEntryByCount_recv, no_match_found
mlsvproto_DBGetEntryString_recv, no_match_found
mlsvproto_DBGetEntryRank_recv, no_match_found
mlsvproto_ACServerLogin_recv, no_match_found
CHECKOBJECT, StoneAge/Source/gmsv/callfromcli.c
CHECKOBJECTUSE, StoneAge/Source/gmsv/object.c
OBJECT_getOwnAddress, no_match_found
OBJECT_getType, StoneAge/Source/gmsv/callfromcli.c
OBJECT_setType, StoneAge/Source/gmsv/object.c
OBJECT_getTime, StoneAge/Source/gmsv/object.c
OBJECT_setTime, StoneAge/Source/gmsv/object.c
OBJECT_getMapId, no_match_found
OBJECT_setMapId, no_match_found
OBJECT_getFloor, StoneAge/Source/gmsv/object.c
OBJECT_setFloor, StoneAge/Source/gmsv/object.c
OBJECT_getX, StoneAge/Source/gmsv/object.c
OBJECT_setX, StoneAge/Source/gmsv/object.c
OBJECT_getY, StoneAge/Source/gmsv/object.c
OBJECT_setY, StoneAge/Source/gmsv/object.c
OBJECT_getWarpmapid, no_match_found
OBJECT_setWarpmapid, no_match_found
OBJECT_getWarpfloor, no_match_found
OBJECT_setWarpfloor, no_match_found
OBJECT_getWarpx, no_match_found
OBJECT_setWarpx, no_match_found
OBJECT_getWarpy, no_match_found
OBJECT_setWarpy, no_match_found
OBJECT_getIndex, StoneAge/Source/gmsv/callfromac.c
OBJECT_setIndex, StoneAge/Source/gmsv/object.c
OBJECT_getNum, StoneAge/Source/gmsv/net.c
detectStoreFile, StoneAge/Source/gmsv/object.c
storeObjects, StoneAge/Source/gmsv/msignal.c
Priodical_ObjectDump, no_match_found
endObjectOne, StoneAge/Source/gmsv/object.c
initObjectOne, StoneAge/Source/gmsv/object.c
initObjectFromObjectMember, StoneAge/Source/gmsv/object.c
endObjectArray, StoneAge/Source/gmsv/object.c
printObjectBufferNum, no_match_found
initObjectArray, StoneAge/Source/gmsv/init.c
restoreObjects, StoneAge/Source/gmsv/object.c
OBJECT_GoldDeleteTimeWatched, no_match_found
RealTimeToNRTime, no_match_found
NRTimeToRealTime, no_match_found
getNRTime, no_match_found
setNewTime, StoneAge/Source/gmsv/handletime.c
getFunctionPointerFromName, StoneAge/Source/gmsv/function.c
initFunctionTable, StoneAge/Source/gmsv/function.c
closeAllLogFile, StoneAge/Source/gmsv/log.c
backupAllLogFile, StoneAge/Source/gmsv/log.c
printl, StoneAge/Source/gmsv/log.c
LogSkill, no_match_found
LogGuildMonster, no_match_found
LogGuild, no_match_found
LogPetMail, no_match_found
LogBattle, no_match_found
LogBreak, no_match_found
LogLogin, StoneAge/Source/gmsv/log.c
LogTalk, StoneAge/Source/gmsv/log.c
LogPet, StoneAge/Source/gmsv/log.c
LogGold, no_match_found
LogItem, StoneAge/Source/gmsv/log.c
openAllLogFile, StoneAge/Source/gmsv/log.c
initLog, StoneAge/Source/gmsv/init.c
MSG_CHECKID, no_match_found
MSG_CHECKINDEX, no_match_found
BADMSG_CHECKID, no_match_found
BADMSG_CHECKINDEX, no_match_found
BADMSG_initBadMessages, no_match_found
BADMSG_resetBadMessages, no_match_found
MSG_initMessages, no_match_found
MSG_resetMessages, no_match_found
MSG_getMessage, no_match_found
BADMSG_getBadMessage, no_match_found
DB_QUE_AppendTail, no_match_found
DB_QUE_getTop, no_match_found
DB_QUE_Remove, no_match_found
DB_QUE_Count, no_match_found
DB_proc_SaveJob, no_match_found
DB_proc_getSkillReasonablePopulation, no_match_found
DB_proc_GetMyDuelRanking, no_match_found
DB_proc_UnLock_Result, no_match_found
DB_proc_ClrBadMsg_Result, no_match_found
DB_proc_Settrial_Result, no_match_found
DB_proc_RestoreChar, no_match_found
DB_proc_RestoreChar_Result, no_match_found
DB_proc_killGuild, no_match_found
DB_proc_killGuild_Result, no_match_found
DB_proc_setGuildTitle_Result, no_match_found
DB_proc_clearGuildMonsterCloseness_Result, no_match_found
DB_proc_getGuildPetList_Result, no_match_found
DB_proc_getGuildPet_Result, no_match_found
DB_proc_putGuildPet_Result, no_match_found
DB_proc_delGuildPetInRoom_Result, no_match_found
DB_proc_toPuk3_Result, no_match_found
DB_proc_toPuk2_Result, no_match_found
DB_proc_writeOffGuild_Result, no_match_found
DB_proc_guildInfo_Result, no_match_found
DB_proc_createGuild_Result, no_match_found
DB_proc_ResetProductKey_Result, no_match_found
DB_proc_GetMyDuelRanking_Result, no_match_found
DB_proc_GetNormalDuelRanking_Result, no_match_found
DB_proc_UpdateDuelRanking_Result, no_match_found
DB_proc_MoveChar_Result, no_match_found
DB_proc_Isaosearch_Result, no_match_found
DB_proc_Changeisaoid_Result, no_match_found
DB_proc_Cdkeysearch_Result, no_match_found
DB_proc_Graduation_Result, no_match_found
DB_printLinkQueNumber, no_match_found
DB_proc, no_match_found
DB_proc_CharDelete_Result, no_match_found
DB_proc_SaveJob_Result, no_match_found
DB_proc_AskJob_Result, no_match_found
DB_proc_CharSave_Result, no_match_found
DB_ReleaseCharItemPet, no_match_found
DB_proc_CharLogout_Result, no_match_found
DB_proc_CharLogin_Result, no_match_found
DB_proc_createNewChar_Result, no_match_found
DB_proc_getCharList_Result, no_match_found
DB_copyresultstring, no_match_found
DB_proc_delLock, no_match_found
DB_proc_getLock, no_match_found
DB_proc_guildSaveAll, no_match_found
DB_proc_saveBreedingRoom, no_match_found
DB_proc_sub_saveItemAll, no_match_found
DB_proc_sub_saveChar, no_match_found
GuildItemBoxPetDelete, no_match_found
DB_proc_saveGuildItemBoxAll, no_match_found
DB_proc_getGuildList_Result, no_match_found
DB_proc_getSkillReasonablePopulation_Result, no_match_found
DB_getResultLoop, no_match_found
DB_releaseMySqlIndex, no_match_found
DB_proc_putGuildPetFunc, no_match_found
DB_proc_getGuildPetFunc, no_match_found
DB_proc_getGuildPetListFunc, no_match_found
DB_getMysqlIndex, no_match_found
DB_proc_toPuk3, no_match_found
DB_proc_delGuildPetInRoom, no_match_found
DB_proc_putGuildPet, no_match_found
DB_proc_getGuildPet, no_match_found
DB_proc_getGuildPetList, no_match_found
DB_proc_clearGuildMonsterCloseness, no_match_found
DB_proc_setGuildTitle, no_match_found
DB_proc_toPuk2, no_match_found
DB_proc_writeOffGuild, no_match_found
DB_proc_getGuildList, no_match_found
DB_proc_guildInfo, no_match_found
DB_proc_createGuild, no_match_found
DB_proc_ResetProductKey, no_match_found
DB_proc_Settrial, no_match_found
DB_proc_MoveChar, no_match_found
DB_proc_ClrBadMsg, no_match_found
DB_proc_Isaosearch, no_match_found
DB_proc_Changeisaoid, no_match_found
DB_proc_Cdkeysearch, no_match_found
DB_proc_Graduation, no_match_found
DB_proc_GetNormalDuelRanking, no_match_found
DB_proc_UpdateDuelRanking, no_match_found
DB_proc_AskJob, no_match_found
DB_proc_UnLock, no_match_found
DB_proc_CharDelete, no_match_found
DB_proc_CharSave, no_match_found
DB_proc_CharLogout, no_match_found
DB_proc_createNewChar, no_match_found
DB_proc_getCharList, no_match_found
DB_proc_CharSave_All, no_match_found
DB_proc_CharLogin_loadPet, no_match_found
DB_proc_CharLogin_loadItem, no_match_found
DB_proc_CharLogin, no_match_found
DB_MainLoop, no_match_found
_DB_addQue, no_match_found
DB_close, no_match_found
DB_init, no_match_found
WARP_warp, no_match_found
WARP_initWarp, no_match_found
AUTH_QUE_AppendTail, no_match_found
AUTH_QUE_getTop, no_match_found
AUTH_QUE_Remove, no_match_found
AUTH_QUE_Count, no_match_found
AUTH_close, no_match_found
IsaoErrConvert, no_match_found
CheckIPOnline, no_match_found
SetTrialFlg, no_match_found
AUTH_proc, no_match_found
AUTH_proc_auth_Result, no_match_found
AUTH_getResultLoop, no_match_found
CheckCDkey, no_match_found
AUTH_proc_auth, no_match_found
check_test_account_pair, no_match_found
AUTH_check_EXPFlag, no_match_found
AUTH_addQue, no_match_found
AUTH_init, no_match_found
connectMysql, no_match_found
AUTH_MainLoop, no_match_found
PfCheck_Print, no_match_found
PFCHECK_OUT, no_match_found
PFCHECK_CLOSE, no_match_found
PFCHECK_OPEN, no_match_found
PerformPrint, no_match_found
PFCHECK_IN, no_match_found
StriCmp, no_match_found
StrStrip, no_match_found
GetKeyValue, no_match_found
GetLine, no_match_found
iniGetValue, no_match_found
iniGetDouble, no_match_found
iniGetString, no_match_found
iniGetInt, no_match_found
ClearDumpBuf, no_match_found
iniFileLoad, no_match_found
iniSetString, no_match_found
iniSetInt, no_match_found
_CHAR_CheckCharPointer, no_match_found
CHAR_setDump, no_match_found
CHAR_CHECKTITLEINDEX, StoneAge/Source/gmsv/char/char_base.c
CHAR_setRecipeFlg, no_match_found
CHAR_delRecipeFlg, no_match_found
CHAR_checkRecipeFlg, no_match_found
CHAR_setAlbumFlg, no_match_found
CHAR_delAlbumFlg, no_match_found
CHAR_checkAlbumFlg, no_match_found
CHAR_getAddressbookEntry, StoneAge/Source/gmsv/char/addressbook.c
CHAR_getCharNum, StoneAge/Source/gmsv/callfromac.c
CHAR_getPlayerMaxNum, StoneAge/Source/gmsv/callfromac.c
CHAR_getWorldPlayerMaxNum, no_match_found
CHAR_setWorldPlayerMaxNum, no_match_found
CHAR_getEnablePlayerMaxNum, no_match_found
CHAR_getPetMaxNum, StoneAge/Source/gmsv/net.c
CHAR_getEnablePetMaxNum, no_match_found
CHAR_getOthersMaxNum, StoneAge/Source/gmsv/char/char_base.c
CHAR_getEnableOthersMaxNum, no_match_found
CHAR_doInitEvent, no_match_found
CHAR_setAddressbookEntry, StoneAge/Source/gmsv/char/addressbook.c
CHAR_makeCharSkillFromStringToArg, no_match_found
CHAR_initCharOneArray, StoneAge/Source/gmsv/char/char.c
_CHAR_CHECKHOUSEPETINDEX, no_match_found
_CHAR_CHECKPOOLPETINDEX, StoneAge/Source/gmsv/char/char_base.c
_CHAR_CHECKPETINDEX, StoneAge/Source/gmsv/char/char_base.c
_CHAR_CHECKTECHINDEX, no_match_found
_CHAR_CHECKSKILLINDEX, no_match_found
_CHAR_setHouseItemIndex, no_match_found
_CHAR_getHouseItemIndex, no_match_found
_CHAR_setPoolItemIndex, StoneAge/Source/gmsv/char/char_base.c
_CHAR_getPoolItemIndex, StoneAge/Source/gmsv/char/char_base.c
_CHAR_setWorkFlg, no_match_found
_CHAR_CHECKITEMINDEXFROMINDEX, no_match_found
_CHAR_CHECKPOOLITEMINDEX, no_match_found
_CHAR_CHECKITEMINDEX, StoneAge/Source/gmsv/char/char_base.c
_CHAR_CHECKINDEX, StoneAge/Source/gmsv/char/char_base.c
CHAR_makeCharItemFromStringToArg, no_match_found
CHAR_makeCharStatusFromStringToArg, no_match_found
CHAR_makeSkillStringFromCharData, no_match_found
CHAR_makeItemStringFromCharData, no_match_found
CHAR_makeStatusStringFromCharData, no_match_found
CHAR_removeChar, no_match_found
CHAR_appendTailChar, no_match_found
CHAR_getListSize, no_match_found
CHAR_endCharArray, StoneAge/Source/gmsv/char/char_base.c
CHAR_cleanUpChar, no_match_found
CHAR_initCharArray, StoneAge/Source/gmsv/init.c
CHAR_printLinkBufferNumber, no_match_found
CHAR_getLinkChar, no_match_found
CHAR_checkTranceRecipeFlg, no_match_found
_CHAR_unsetItem, no_match_found
_CHAR_CheckPlayerPointer, no_match_found
_CHAR_getFlg, StoneAge/Source/gmsv/char/char_base.c
_CHAR_setFlg, StoneAge/Source/gmsv/char/char_base.c
_CHAR_getWorkFlg, no_match_found
_CHAR_getCharPointer, no_match_found
_CHAR_setItemIndexFromIndex, no_match_found
_CHAR_getItemIndexFromIndex, no_match_found
_CHAR_setFlgFromIndex, no_match_found
_CHAR_getFlgFromIndex, no_match_found
CHAR_endCharOneArray, StoneAge/Source/gmsv/object.c
CHAR_getHousePetEmptyElement, no_match_found
_CHAR_getSkillLevel, no_match_found
