_init_proc	.init	08049DD4	00000017	0000000C		R	.	.	.	.	.	B	.	.
_fwrite	.plt	0804A53C	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
_fprintf	.plt	0804A54C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_strstr	.plt	0804A55C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_time	.plt	0804A56C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_setvbuf	.plt	0804A57C	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
_strncat	.plt	0804A58C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_remove	.plt	0804A59C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_malloc	.plt	0804A5AC	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_pthread_mutex_lock	.plt	0804A5BC	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_sched_get_priority_min	.plt	0804A5CC	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_gethostname	.plt	0804A5DC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_rindex	.plt	0804A5EC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_mysql_fetch_row	.plt	0804A5FC	00000006			R	.	.	.	.	.	.	T	.
_fputc	.plt	0804A60C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_dlerror	.plt	0804A61C	00000006	00000000		R	.	.	.	.	.	.	T	.
__Unwind_GetCFA	.plt	0804A62C	00000006			R	.	.	.	.	.	.	.	.
_strtok	.plt	0804A63C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_pthread_create	.plt	0804A64C	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
___sysv_signal	.plt	0804A65C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_sleep	.plt	0804A66C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_sigaddset	.plt	0804A67C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_mysql_real_escape_string	.plt	0804A68C	00000006			R	.	.	.	.	.	.	.	.
_backtrace	.plt	0804A69C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_mysql_free_result	.plt	0804A6AC	00000006			R	.	.	.	.	.	.	T	.
_memmove	.plt	0804A6BC	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
___ctype_tolower_loc	.plt	0804A6CC	00000006	00000000		R	.	.	.	.	.	.	T	.
_strcat	.plt	0804A6DC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_puts	.plt	0804A6EC	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
___strtoul_internal	.plt	0804A6FC	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
_pthread_testcancel	.plt	0804A70C	00000006	00000000		R	.	.	.	.	.	.	T	.
_setsockopt	.plt	0804A71C	00000006	00000000	00000014	R	.	.	.	.	.	.	T	.
_fcntl	.plt	0804A72C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_rand	.plt	0804A73C	00000006	00000000		R	.	.	.	.	.	.	T	.
_sscanf	.plt	0804A74C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
___fxstat	.plt	0804A75C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_fscanf	.plt	0804A76C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_memchr	.plt	0804A77C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_strncmp	.plt	0804A78C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_vfprintf	.plt	0804A79C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_index	.plt	0804A7AC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
__IO_putc	.plt	0804A7BC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_munmap	.plt	0804A7CC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_strpbrk	.plt	0804A7DC	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_fread	.plt	0804A7EC	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
_strftime	.plt	0804A7FC	00000006	00000000	00000010	R	.	.	.	.	.	.	T	.
_cosh	.plt	0804A80C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_snprintf	.plt	0804A81C	00000006	00000000	0000000C	R	.	.	.	.	.	.	T	.
_mmap64	.plt	0804A82C	00000006			R	.	.	.	.	.	.	.	.
_gethostbyname	.plt	0804A83C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_ferror	.plt	0804A84C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_strcmp	.plt	0804A85C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_exit	.plt	0804A86C	00000006	00000000	00000004	.	.	.	.	.	.	.	T	.
_difftime	.plt	0804A87C	00000006	00000000	00000008	R	.	.	.	.	.	.	T	.
_pclose	.plt	0804A88C	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_pthread_self	.plt	0804A89C	00000006	00000000		R	.	.	.	.	.	.	T	.
_pthread_cancel	.plt	0804A8AC	00000006	00000000	00000004	R	.	.	.	.	.	.	T	.
_mysql_init	.plt	0804A8BC	00000006			R	.	.	.	.	.	.	T	.
_start	.text	0804A8D0	00000022	00000000		.	.	.	M	.	.	.	T	.
call_gmon_start	.text	0804A8F4	00000026	0000000C		R	.	.	M	.	.	B	T	.
__do_global_dtors_aux	.text	0804A920	00000055	0000000C		R	.	.	M	.	.	B	T	.
frame_dummy	.text	0804A980	00000023	0000000C		R	.	.	M	.	.	B	T	.
mainloop	.text	0804A9B0	000003C5	0000018C		.	.	.	.	.	.	B	T	.
main	.text	0804AD80	000004E1	00000018	0000000C	R	.	.	.	.	.	B	T	.
printUsage	.text	0804B270	0000006F	0000001C		R	.	.	.	.	.	B	T	.
parseEnvironment	.text	0804B2E0	00000063	0000001C	00000004	R	.	.	.	.	.	B	T	.
parseCommandLine	.text	0804B350	000000E8	0000003C	00000008	R	.	.	.	.	.	B	T	.
init	.text	0804B440	000025A8	0000027C	0000000C	R	.	.	.	.	.	B	T	.
substitutePointerFromType	.text	0804D9F0	00000077	0000000C	00000010	R	.	.	.	.	.	B	T	.
getBattlenum	.text	0804DA70	0000000A	00000004		R	.	.	.	.	.	B	T	.
getBattleDebugMsg	.text	0804DA80	0000000A	00000004		R	.	.	.	.	.	B	T	.
setBattleDebugMsg	.text	0804DA90	0000000D	00000004	00000004	R	.	.	.	.	.	B	T	.
getFdnum	.text	0804DAA0	0000000C	00000004		R	.	.	.	.	.	B	T	.
getFCtime	.text	0804DAB0	0000000A	00000004		R	.	.	.	.	.	B	T	.
getFCcount	.text	0804DAC0	0000000A	00000004		R	.	.	.	.	.	B	T	.
getFCwait	.text	0804DAD0	0000000A	00000004		R	.	.	.	.	.	B	T	.
getUnFairUserDownFlg	.text	0804DAE0	0000000A	00000004		R	.	.	.	.	.	B	T	.
getMacroUserDownFlg	.text	0804DAF0	0000000A	00000004		R	.	.	.	.	.	B	T	.
printConfig	.text	0804DB00	00000B6B	0000001C		R	.	.	.	.	.	B	T	.
lastConfig	.text	0804E670	00000A19	0000011C		R	.	.	.	.	.	B	T	.
readconfigfile	.text	0804F090	00000447	000004BC	00000004	R	.	.	.	.	.	B	T	.
defaultConfig	.text	0804F4E0	0000036B	0000001C	00000004	R	.	.	.	.	.	B	T	.
chompex	.text	0804F850	00000036	00000004	00000004	R	.	.	.	.	.	B	T	.
strncpy2	.text	0804F890	0000006D	00000010	0000000C	R	.	.	.	.	.	B	T	.
texttoiTail	.text	0804F900	00000007	00000004		R	.	.	.	.	.	B	T	.
replaceString	.text	0804F910	00000037	0000000C	00000009	R	.	.	.	.	.	B	T	.
hashpjw	.text	0804F950	0000003C	00000004	00000004	R	.	.	.	.	.	B	T	.
existsNewLineCharacter	.text	0804F990	0000002A	00000004	00000004	R	.	.	.	.	.	B	T	.
PointInRect	.text	0804F9C0	00000036	00000008	00000008	R	.	.	.	.	.	B	T	.
CoordinateInRect	.text	0804FA00	00000026	0000001C	0000000C	R	.	.	.	.	.	B	T	.
clipRect	.text	0804FA30	000000F0	00000018	0000000C	R	.	.	.	.	.	B	T	.
easyGetTokenFromString	.text	0804FB20	000000B8	00000010	00000010	R	.	.	.	.	.	B	T	.
linearDiv	.text	0804FBE0	00000012	00000004	0000000C	R	.	.	.	.	.	B	T	.
cnv10to62	.text	0804FC00	0000018E	00000154	0000000C	R	.	.	.	.	.	B	T	.
checkRedundancy	.text	0804FD90	0000007B	00000014	00000008	R	.	.	.	.	.	B	T	.
CheckCRC	.text	0804FE10	00000045	00000010	00000008	R	.	.	.	.	.	B	T	.
Atan	.text	0804FE60	0000017A	00000014	00000008	R	.	.	.	.	.	B	T	.
THREAD_getIndex	.text	0804FFE0	00000020	00000004	00000004	R	.	.	.	.	.	B	T	.
RAND	.text	08050000	0000006C	0000001C	00000008	R	.	.	.	.	.	B	T	.
shuffle_ints	.text	08050070	0000005B	0000001C	0000000C	R	.	.	.	.	.	B	T	.
initSignalBlock	.text	080500D0	0000007F	0000022C		R	.	.	.	.	.	B	T	.
isExistFile	.text	08050150	00000030	0000000C	00000004	R	.	.	.	.	.	B	T	.
makeRandomString	.text	08050180	00000057	0000001C	0000000C	R	.	.	.	.	.	B	T	.
nindex	.text	080501E0	0000005B	0000001C	0000000C	R	.	.	.	.	.	B	T	.
makeEscapeString	.text	08050240	000000B9	0000001C	0000000C	R	.	.	.	.	.	B	T	.
makeStringFromEscaped	.text	08050300	0000007E	0000001C	00000004	R	.	.	.	.	.	B	T	.
deleteCharFromStringNoEscape	.text	08050380	00000078	0000001C	00000008	R	.	.	.	.	.	B	T	.
deleteCharFromString	.text	08050400	0000007D	0000001C	00000008	R	.	.	.	.	.	B	T	.
strcmptail	.text	08050480	00000084	0000001C	00000008	R	.	.	.	.	.	B	T	.
charInclude	.text	08050510	00000062	0000001C	00000008	R	.	.	.	.	.	B	T	.
pohcd	.text	08050580	00000076	0000001C	00000008	R	.	.	.	.	.	B	T	.
dchop	.text	08050600	00000064	0000001C	00000008	R	.	.	.	.	.	B	T	.
chop	.text	08050670	00000021	0000000C	00000004	R	.	.	.	.	.	B	T	.
isstring1or0	.text	080506A0	00000092	0000001C	00000004	R	.	.	.	.	.	B	T	.
checkStringsUnique	.text	08050740	0000008E	0000002C	0000000C	R	.	.	.	.	.	B	T	.
strncpysafe	.text	080507D0	000000C8	0000002C	00000018	R	.	.	.	.	.	B	T	.
deleteSequentChar	.text	080508A0	000000FE	0000002C	00000008	R	.	.	.	.	.	B	T	.
kanjistrToInt	.text	080509A0	00000227	0000006C	00000004	R	.	.	.	.	.	B	T	.
decimalstrToInt	.text	08050BD0	000000D0	0000005C	00000004	R	.	.	.	.	.	B	T	.
numstrIsKanji	.text	08050CA0	000000A4	0000002C	00000004	R	.	.	.	.	.	B	T	.
textToInt	.text	08050D50	0000021A	0000013C	00000004	R	.	.	.	.	.	B	T	.
strtolchecknum	.text	08050F70	00000064	0000002C	00000010	R	.	.	.	.	.	B	T	.
new_strcatsafe	.text	08050FE0	0000005D	0000001C	00000010	R	.	.	.	.	.	B	T	.
_strcpysafe	.text	08051040	000000D7	0000003C	00000014	R	.	.	.	.	.	B	T	.
rrd	.text	08051120	00000169	0000048C	00000010	R	.	.	.	.	.	B	T	.
rgetFileName	.text	08051290	00000037	0000002C	0000000C	R	.	.	.	.	.	B	T	.
getStringFromIndexWithDelim_body	.text	080512D0	000000C2	0000002C	0000001C	R	.	.	.	.	.	B	T	.
setArrayFromStringWithDelim	.text	080513A0	0000008B	0000102C	00000010	R	.	.	.	.	.	B	T	.
getFourIntsFromString	.text	08051430	00000182	000000AC	00000014	R	.	.	.	.	.	B	T	.
strcatsafe	.text	080515C0	0000004D	0000002C	0000000C	R	.	.	.	.	.	B	T	.
SERVSTATE_SetAcceptMore	.text	08051610	00000013	00000004	00000004	R	.	.	.	.	.	B	T	.
SERVSTATE_decrementCloseallsocketnum	.text	08051630	0000000C	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_getCloseallsocketnum	.text	08051640	0000000A	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_getAcceptmore	.text	08051650	0000000A	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_getShutdown	.text	08051660	0000000A	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_setShutdown	.text	08051670	0000000D	00000004	00000004	R	.	.	.	.	.	B	T	.
SERVSTATE_getLimittime	.text	08051680	0000000A	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_setLimittime	.text	08051690	0000000D	00000004	00000004	R	.	.	.	.	.	B	T	.
SERVSTATE_getDsptime	.text	080516A0	0000000A	00000004		R	.	.	.	.	.	B	T	.
SERVSTATE_setDsptime	.text	080516B0	0000000D	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_checkfd	.text	080516C0	00000034	00000004	00000004	R	.	.	.	.	.	B	T	.
getfdFromCharaIndex	.text	08051700	00000045	00000004	00000004	R	.	.	.	.	.	B	T	.
getfdFromChar	.text	08051750	0000002B	00000004	00000004	R	.	.	.	.	.	B	T	.
getfdFromFdid	.text	08051780	00000052	00000008	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isCLI	.text	080517E0	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isAC	.text	08051800	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isML	.text	08051820	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isUnderLogin	.text	08051840	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isWhileLogin	.text	08051860	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isNOTLOGIN	.text	08051880	0000001D	00000004	00000004	R	.	.	.	.	.	B	T	.
CONNECT_isLOGIN	.text	080518A0	0000001C	00000004	00000004	R	.	.	.	.	.	B	T	.
getfdFromCdkeyWithLogin	.text	080518C0	0000006F	0000001C	00000004	R	.	.	.	.	.	B	T	.
getfdFromCdkey	.text	08051930	00000061	0000001C	00000004	R	.	.	.	.	.	B	T	.
outputNetProcLog	.text	080519A0	0000048A	0000206C	00000008	R	.	.	.	.	.	B	T	.
closeAllConnectionandSaveData	.text	08051E30	000000DA	0000001C		R	.	.	.	.	.	B	T	.
NET_writeLoop	.text	08051F10	000001CA	000000AC		R	.	.	.	.	.	B	T	.
CONNECT_appendCDbuf	.text	080520E0	00000085	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CONNECT_appendCAbuf	.text	08052170	00000085	0000001C	0000000C	R	.	.	.	.	.	B	T	.
GetOneLine_fix	.text	08052200	00000191	0000002C	0000000C	R	.	.	.	.	.	B	T	.
lsrpcClientWriteFunc	.text	080523A0	00000181	0000002C	0000000C	R	.	.	.	.	.	B	T	.
initConnectOne	.text	08052530	00000246	0000002C	0000000C	R	.	.	.	.	.	B	T	.
NET_acceptLoop	.text	08052780	00000430	000000DC		R	.	.	.	.	.	B	T	.
connectHost	.text	08052BB0	00000264	0000004C	00000006	R	.	.	.	.	.	B	T	.
bindlocalhost	.text	08052E20	0000016B	0000004C	00000004	R	.	.	.	.	.	B	T	.
getCharindexFromFdid	.text	08052F90	0000007D	0000001C	00000004	R	.	.	.	.	.	B	T	.
chardatasavecheck	.text	08053010	000000F8	0000001C		R	.	.	.	.	.	B	T	.
CAsend	.text	08053110	00000053	0000001C	00000004	R	.	.	.	.	.	B	T	.
CDsend	.text	08053170	00000064	0000001C	00000004	R	.	.	.	.	.	B	T	.
CDflush	.text	080531E0	00000022	0000000C	00000004	R	.	.	.	.	.	B	T	.
CDcheck	.text	08053210	00000098	0000001C		R	.	.	.	.	.	B	T	.
CAflush	.text	080532B0	00000022	0000000C	00000004	R	.	.	.	.	.	B	T	.
CAcheck	.text	080532E0	00000098	0000001C		R	.	.	.	.	.	B	T	.
endConnect	.text	08053380	000000D0	0000001C		R	.	.	.	.	.	B	T	.
CONNECT_mlfdInitWB	.text	08053450	000000C1	0000001C	00000004	R	.	.	.	.	.	B	T	.
CONNECT_mlfdInitRB	.text	08053520	000000C1	0000001C	00000004	R	.	.	.	.	.	B	T	.
initConnect	.text	080535F0	000001B5	0000001C	00000004	R	.	.	.	.	.	B	T	.
_CONNECT_endOne	.text	080537B0	0000025B	0000003C	0000000C	R	.	.	.	.	.	B	T	.
NET_dispatchLoop	.text	08053A10	00000454	0001003C		R	.	.	.	.	.	B	T	.
MlsvRebirth	.text	08053E70	00000066	0000001C		R	.	.	.	.	.	B	T	.
NET_readLoop	.text	08053EE0	00000479	0000103C		R	.	.	.	.	.	B	T	.
NET_IO_Loop	.text	08054360	0000002A	0000000C		R	.	.	.	.	.	B	T	.
MlsvRebirth_func	.text	08054390	00000138	0000001C		R	.	.	.	.	.	B	T	.
configmem	.text	080544D0	0000004E	00000004	00000008	R	.	.	.	.	.	B	T	.
checkMemory	.text	08054520	0000002F	00000008	00000004	R	.	.	.	.	.	B	T	.
Print_Alloced	.text	08054550	00000007	00000004		R	.	.	.	.	.	B	T	.
